"","x"
"252","In brief:   Symptoms   If you are infected, symptoms will emerge: tiredness, dry cough, fever worsening over 5-14 days.  You will also become more infective so self-isolation and good hygiene are vital.Only be concerned about COVID-19 if: - You have been in contact with someone with a conformed diagnosis of COVID-19 - You have visited a high risk area - Symptoms worsen and include persistent fever and dry cough  Would you like to video or text chat with me?         "
"253","COVID-19 and RA. Some anecdotal data showed that chloroquine or hydroxychloroquine might have activity against COVID-19. Observation from China Wuhan noted that patients with RA and on these medications had low incidence of COVID-19 infection. There is however no definite proof yet at this time.  In terms of whether you can stop methotrexate, you better discuss with your rheumatologist for the benefit and risk. ."
"254","After symptoms show. As per the NICD Guidelines for Clinical Management of Suspected or Confirmed COVID-19 Disease, ""Those with mild disease may be de-isolated 14 days after symptom onset, while those with severe disease may be de-isolated 14 days after achieving clinical stability  (e.g. once supplemental oxygen is discontinued)"". [Available at: http://www.nicd.ac.za/diseases-a-z-index/covid-19/covid-19-guidelines/]"
"255","Viral infection. Most likely a viral infection but possibly allergyI advise a doctor consultation You may need treatment with an antihistamine, and decongestantOnly be concerned about COVID-19 if: - You have been in contact with someone with a conformed diagnosis of COVID-19 - You have visited a high risk area - Symptoms worsen and include persistent fever and dry cough."
"256","Viral infection. Most likely a non-specific viral infection.Check your temperature.If persistently raised an symptoms don't clear in 7 days, consult your doctor.Most likely a non-specific viral infection.Only be concerned about COVID-19 if:You have been in contact with someone with a conformed diagnosis of COVID-19You have visited a high risk areaSymptoms worsen and include persistent fever and dry cough."
"257","In brief:   Lab if necessary   Most commercial labs such as Lancet, Ampath and Pathcare can test.   But the labs are stretched and test kits in short supply. Only tests if:You have symptoms that are not resolvingYou have been in contact with someone diagnosed with COVID-19You have traveled from a high risk area  Would you like to video or text chat with me?         "
"258","Probably not. much more important is what her exposure is to anyone who has COVID19 or traveler from a highly infected area.fever >100.4F and respiratory symptoms are more common with COVID 19 than vomiting."
"259","In brief:   Best to stay home   Right now stay home, consult here.   Disinfect everything and stay safe. We are here to answer your questions.  Would you like to video or text chat with me?         "
"260","In brief:   Viral respiratory    You likely have a viral respiratory tract infection.   Manage with paracetamol and gargle with salt water or Disprin. Everyone is concerned about Corona virus. This is unlikely unless you have been in contact with someone who has been diagnosed or has traveled from a high risk area. In any event, isolate yourself from others, stay at home and adopt strict hygiene measures: hand washing, alcohol use  Would you like to video or text chat with me?         "
"261","Absolutely. Good morningWithout being rude, you are quite right to stay well away. Also be stringent about hand washing, sanitizing and avoiding contact with your face and other people. Monitor any symptoms."
